qr_code,area_id,postal_code
IM1l1OlO,A00000004,187968
IM1l1O04,A00000007,628555
IM1l1O05,A00000007,639441
IM1l1O06,A00000007,639441
IM1l1O08,A00000007,608511
IM1l1O09,A00000006,486767
IM1l0lO2,A00000008,579819
IM1l0lO3,A0000000T,138632
IM1l1O27,A00000008,569503
IM1l1O28,A00000008,570444
IM1l1O32,A00000001,465420
IM1l1O34,A00000001,465420
IM1l1O38,A00000001,465420
IM1l1O46,A00000004,088540
IM1l1O52,A00000004,079902
IM1l1O57,A0000000V,768738
IM1l1O63,A00000008,368817
IM1l1O64,A0000000V,768731
IM1l1O69,A00000008,569554
IM1l1O73,A00000008,579704
IM1l1O74,A00000008,554911
IM1l1O76,A00000006,819651
IM1l1O83,A00000008,554911
IM1l1O84,A0000000T,117546
IM1l1O85,A00000004,079902
IM1l1O89,A00000004,079902
IM1l1O90,A00000008,387385
IM1l1O96,A0000000T,117546
IM1l1O97,A0000000T,117546
IM1l1O98,A00000004,079902
IM1l1O66,A00000004,079902
IM1l011O,A0000000T,117546
IM1l01l0,A0000000T,117546
IM1l0lO2,A0000000T,117546
IM1l0lO3,A0000000T,117546
IM1l0lO7,A0000000T,117546
IM1l01l2,A00000007,618594
IM1l01l3,A00000004,068913 
IM1l01l4,A00000004,228208
IM1l01l5,A00000006,528872
IML1l068,A00000004,058285
IM1l0120,A00000006,528872
IM1l0123,A0000000V,797435
IM1l0125,A00000007,619864
IM1l0126,A0000000V,797435
IM1l0129,A0000000T,609261
IM1l0131,A0000000T,608619
IM1l0135,A00000008,828700
IM1l0139,A00000006,417940
IM1l0140,A00000004,068902
IM1l0151,A00000004,259387
IM1l0154,A00000008,554911
IM1l0157,A00000010,627871
IM1l0164,A00000008,554911
IM1l0165,A0000000T,159456
IM1l0166,A00000006,528872
IM1l0168,A00000010,627815
IM1l0169,A00000006,408939
IM1l0180,A00000006,498793
IM1l0183,A00000006,408621
IM1l0184,A00000004,018960
IM1l0194,A00000008,569060
IM1l02lO,A00000004,238868
IM1l0203,A0000000V,757707
IM1l0206,A00000008,348742
IM1l0209,A00000004,068803
IM1l021l,A00000010,627867
IM1l0217,A00000006,416240
IM1l0218,A00000004,068803
IM1l0222,A00000007,608512
IM1l0225,A00000006,408563
IM1l0228,A0000000T,138649
IM1l0229,A00000008,768729
IM1l0231,A00000007,629040
IM1l0232,A00000008,820649
IM1l0235,A00000010,627867
IM1l0238,A0000000V,648305
IM1l0241,A00000008,820649
IM1l0242,A00000008,554911
IM1l0245,A00000004,079117
IM1l0246,A00000008,531682
IM1l0248,A0000000V,534675
IM1l0249,A0000000T,138670
IM1l0253,A00000007,636976
IM1l0255,A00000004,018960
IM1l0256,A00000008,806106
IM1l0258,A00000006,417939
IM1l0261,A00000007,619264
IM1l0267,A00000007,638075
IM1l0270,A00000006,509739
IM1l0273,A00000006,460003
IM1l0274,A00000004,079909
IM1l0275,A0000000T,609143
IM1l0277,A00000008,554911
IM1l0279,A00000008,530665
IML1O828,A00000008,545123
IM1l0281,A0000000T,138670
IM1l0283,A0000000T,138567
IM1l0284,A00000006,509739
IM1l0285,A0000000T,138623
IM1l0295,A0000000V,648305
IM1l0297,A0000000V,698997
IML1l017,A00000008,560535
IM1l0308,A00000008,570170
IM1l0314,A0000000T,139651
IM1l0320,A0000000V,698997
IM1l0321,A00000007,619774
IM1l0329,A0000000T,139660
IM1l0331,A0000000T,609143
IM1l0332,A0000000T,609144
IM1l0351,A00000005,650383
IM1l0352,A00000005,650387
IM1l0353,A00000005,650387
IM1l0355,A00000005,650383
IM1l0347,A0000000V,120204
IM1l0348,A0000000V,120204
IM1l0349,A0000000V,120204
IM1l0350,A0000000V,120204
IM1l0356,A00000005,650387
IM1l0357,A00000005,650383
IM1l0354,A00000005,650383
IM1l0362,A00000006,498770
IM1l0364,A00000006,498793
IMLlO113,A00000004,048580
IM1l0367,A00000007,642697
IM1l0369,A00000004,079909
IM1l0377,A0000000V,729505
IM1l0378,A00000008,757729
IM1l0380,A00000008,569640
IM1l0381,A00000008,828741
IM1l0386,A00000007,618590
IM1l0389,A00000008,768768
IM1l0390,A0000000V,787793
IM1l0391,A00000004,079909
IM1l0392,A00000007,637359
IM1l0395,A0000000V,608526
IM1l0397,A00000004,217562
IM1l0398,A0000000V,648305
IM1l0366,A00000006,507079
IM1l041O,A00000008,569060
IM1l0405,A00000007,637359
IM1l0407,A00000006,498813
IM1l04lO,A00000008,828741
IM1l041l,A00000007,628567
IM1l0417,A00000007,618594
IM1l0423,A00000006,498786
IM1l0427,A00000006,486548
IM1l0430,A00000008,737779
IM1l0431,A00000006,534022
IM1l0432,A0000000T,609388
IM1l0436,A00000007,649849
IM1l0437,A00000006,509010
IM1l0439,A0000000T,118530
IM1l0441,A00000008,557269
IM1l0445,A00000006,508726
IM1l0448,A00000007,629561
IM1l0449,A00000004,079909
IM1l0450,A00000007,639548
IM1l0453,A0000000V,608526
IM1l0455,A00000004,161005
IM1l0459,A00000007,638442
IM1l0460,A0000000V,608526
IM1l0461,A00000007,639929
IM1l0463,A00000006,486548
IM1l0465,A00000006,518193
IM1l0467,A00000008,557269
IM1l0470,A00000006,498801
IM1l0472,A00000006,486349
IM1l0473,A00000004,169642
IM1l0475,A00000006,486548
IM1l0476,A0000000T,159944
IM1l0477,A00000004,238216
IM1l0482,A00000006,460113
IM1l0483,A0000000T,609289
IM1l0485,A00000008,544829
IM1l0494,A00000008,359937
IM1l0495,A00000006,416243
IM1l0466,A00000008,545025
IM1l051O,A00000006,486548
IM1l05lO,A0000000V,728655
IML1O235,A00000007,648343
IM1l0506,A0000000V,648305
IM1l051l,A00000006,460113
IM1l0516,A00000007,629604
IM1l0518,A00000008,369974
IM1l0522,A00000004,436926
IM1l0524,A00000008,339159
IM1l0525,A00000006,486041
IM1l0526,A0000000T,128424
IM1l0528,A00000008,387299
IM1l0531,A00000004,368063
IM1l0533,A00000008,568429
IM1l0539,A0000000T,149729
IM1l0540,A00000010,627871
IM1l0543,A00000004,218386
IMLlO237,A00000004,051531
IM1l0548,A00000004,079909
IM1l0549,A00000006,486353
IM1l0550,A0000000T,149729
IM1l0562,A00000007,629562
IM1l0567,A00000006,508726
IM1l0568,A00000007,639445
IM1l0570,A00000006,409017
IM1l0571,A00000006,529892
IM1l0574,A0000000V,737811
IM1l0577,A00000004,218386
IM1l0578,A00000008,387299
IM1l0579,A00000008,569506
IM1l0582,A00000008,569506
IM1l0584,A00000004,238216
IM1l0586,A00000007,639414
IM1l0590,A00000006,498816
IM1l0597,A00000006,507739
IM1l0566,A0000000V,120341
IM1l06lO,A00000004,188379
IM1l0602,A00000006,408865
IM1l0605,A00000006,819829
IM1l0607,A0000000V,573858
IM1l0608,A00000007,639461
IM1l0609,A00000006,819827
IM1l06lO,A00000007,628942
IM1l0617,A0000000T,138675
IM1l0619,A00000007,637312
IM1l0621,A0000000V,787805
IM1l0626,A00000004,187950
IM1l0629,A00000007,637363
IM1l0667,A00000008,768733
IM1l0634,A00000007,629650
IM1l0636,A00000006,486118
IM1l0638,A00000004,049315
IM1l0639,A00000007,628582
IM1l0640,A00000004,419679
IM1l0642,A0000000V,129811
IM1l0643,A00000008,738284
IM1l0645,A00000007,639232
IM1l0648,A00000007,629842
IM1l0651,A00000007,629633
IM1l0652,A00000008,319518
IM1l0653,A00000010,628277
IM1l0665,A0000000V,797564
IM1l0666,A00000007,638367
IM1l0667,A00000004,088889
IM1l0671,A00000007,638367
