qr_code,area_id,postal_code
IM1l1OlO,A00000004,187968
IM1l1O04,A00000007,628555
IM1l1O05,A00000007,639441
IM1l1O06,A00000007,639441
IM1l1O08,A00000007,608511
IM1l1O09,A00000006,486767
IM1l0lO2,A00000008,579819
IM1l0lO3,A0000000T,138632
IM1l1O27,A00000008,569503
IM1l1O28,A00000008,570444
IM1l1O32,A00000001,465420
IM1l1O34,A00000001,465420
IM1l1O38,A00000001,465420
IM1l1O46,A00000004,088540
IM1l1O52,A00000004,079902
IM1l1O57,A0000000V,768738
IM1l1O63,A00000008,368817
IM1l1O64,A0000000V,768731
IM1l1O69,A00000008,569554
